"company","activities","poultry_processing","meat_processing"
"Consumers Packing Co.","Meat Processing, Poultry Processing",True,True
"Sensient Flavors LLC","Certification - Export, Food Inspection, Meat Processing, Poultry Processing",True,True
"Countryville Farms","Meat Processing, Poultry Processing",True,True
"Steve's Backroom LLC","Meat Processing, Poultry Processing",True,True
"Sailer's Food and Meat Processing","Meat Processing, Poultry Processing",True,True
"Kim's Processing Plant Inc","Meat Processing, Poultry Processing",True,True
"Hiawatha Pasties","Meat Processing, Poultry Processing",True,True
"Little Lady Foods, Inc. DBA Miracapo Pizza Company","Meat Processing, Poultry Processing",True,True
"Miracapo Pizza Company LLC","Certification - Export, Food Inspection, Meat Processing, Poultry Processing",True,True
"Miracapo Pizza Company LLC","Certification - Export, Food Inspection, Meat Processing, Poultry Processing",True,True
"Heggies Pizza, LLC","Meat Processing, Poultry Processing",True,True
"Kraft Heinz Foods Company","Meat Processing, Poultry Processing",True,True
"AFS Classico, LLC","Meat Processing, Poultry Processing",True,True
"Keystone Meats Inc.","Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Poultry",True,True
"Premium Meats, Inc.","Meat Processing, Poultry Processing",True,True
"Dan's Prize, Inc.","Meat Processing, Poultry Processing",True,True
"Dan's Prize, Inc.","Meat Processing, Poultry Processing",True,True
"DiRusso's Sausage Incorporated","Meat Processing, Poultry Processing",True,True
"Stiglmeier Sausage Co., Inc.","Meat Processing, Poultry Processing",True,True
"Contract Comestibles LLC","Meat Processing, Poultry Processing",True,True
"Luige's Frozen Pizza, Inc.","Meat Processing, Poultry Processing",True,True
"The Honey Baked Ham Company, LLC","Meat Processing, Poultry Processing",True,True
"Festive Foods, LLC","Meat Processing, Poultry Processing",True,True
"Steve's Meat Market, Inc.","Meat Processing, Poultry Processing",True,True
"Smithfield Packaged Meats Corp.","Meat Processing, Poultry Processing",True,True
"AmeriQual Group, LLC","Certification - Export, Meat Processing, Poultry Processing",True,True
"Winesburg Meats","Meat Processing, Poultry Processing",True,True
"Abbyland Pork Pack, Inc.","Meat Processing, Meat Slaughter, Poultry Processing",True,True
"Hearthside Food Solutions, LLC","Food Inspection, Meat Processing, Poultry Processing",True,True
"Echo Lake Foods","Egg Product, Meat Processing, Poultry Processing",True,True
"Brakebush Brothers, Inc.","Certification - Export, Meat Processing, Poultry Processing",True,True
"Corfu Foods, Inc","Meat Processing, Poultry Processing",True,True
"Brakebush Brothers, Inc.","Meat Processing, Poultry Processing",True,True
"Ajinomoto Foods North America, Inc.","Certification - Export, Meat Processing, Poultry Processing",True,True
"Anderson Boneless Beef","Meat Processing, Poultry Processing",True,True
"West Lake Food Corporation","Certification - Export, Meat Processing, Poultry Processing",True,True
"Abbyland Foods, Inc.","Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat",True,True
"Abbyland Foods, Inc.","Meat Processing, Poultry Processing",True,True
"ABBYLAND FOODS","Meat Processing, Poultry Processing",True,True
"Mrs. Stratton's Salads","Meat Processing, Poultry Processing",True,True
"Momence Real Estate","Meat Processing, Meat Slaughter, Poultry Processing",True,True
"Kah and Company Incorporated","Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",True,True
"Ebro Foods, Inc","Meat Processing, Poultry Processing",True,True
"Nation Pizza Products Limited","Certification - Export, Meat Processing, Poultry Processing",True,True
"A to Z Portion Control Meats, Inc.","Meat Processing, Poultry Processing",True,True
"Schreiber Processing Corporation","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Bridgford Food Processing Corporation","Meat Processing, Poultry Processing",True,True
"Lakeside Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Farm Boy Meats","Meat Processing, Poultry Processing",True,True
"Russ' Commissary","Meat Processing, Poultry Processing",True,True
"Distinctive Foods, LLC","Meat Processing, Poultry Processing",True,True
"Devanco Foods","Meat Processing, Poultry Processing",True,True
"A. Gimenez Trading LLC","Meat Processing, Poultry Processing",True,True
"458 1/2 South Broadway Meat Inc","Meat Processing, Poultry Processing",True,True
"Newport Meat of Nevada","Meat Processing, Poultry Processing",True,True
"Frontiere Natural Meats, LLC","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Boesl Packing Co., Inc.","Animal Foods Inspection, Meat Processing, Poultry Processing, Voluntary Processing - Exotic",True,True
"Moweaqua Packing Plant","Food Inspection, Identification - Meat, Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Processing - Rabbit, Voluntary Slaugh",True,True
"Hermanos Dajer Inc.","Meat Processing, Poultry Processing",True,True
"Prison Industry Authority/Mule Creek State Prison","Meat Processing, Poultry Processing",True,True
"Claymont Food Co.","Meat Processing, Poultry Processing",True,True
"JWM Distribution","Meat Processing, Poultry Processing",True,True
"UW Provision Company, Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Ghiringhelli Brothers","Meat Processing, Poultry Processing",True,True
"Big B Distributors","Meat Processing, Poultry Processing",True,True
"Americold Logistics LLC","Meat Processing, Poultry Processing",True,True
"Americold Logistics, LLC","Meat Processing, Poultry Processing",True,True
"Americold Logistics LLC","Meat Processing, Poultry Processing",True,True
"Redondo's LLC","Meat Processing, Poultry Processing",True,True
"Plymouth Poultry Co.","Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",True,True
"Overhill Farms, Inc.","AMS RTE Canada EV Program, Food Inspection, Meat Processing, Poultry Processing",True,True
"Geier's Sausage Kitchen","Meat Processing, Poultry Processing",True,True
"K. T.'s Kitchens, Inc.","Meat Processing, Poultry Processing",True,True
"Garden Fresh Foods, Inc.","Meat Processing, Poultry Processing",True,True
"International Provisions, Inc.","Meat Processing, Poultry Processing",True,True
"International Provisions, Inc.","Meat Processing, Poultry Processing",True,True
"International Provisions, Inc.","Meat Processing, Poultry Processing",True,True
"Hearn Kirkwood / Food Unlimited","Meat Processing, Poultry Processing",True,True
"Sovereign Seafood, Inc.","Meat Processing, Poultry Processing",True,True
"Plumrose USA Inc.","Certification - Export, Meat Processing, Poultry Processing",True,True
"Yoder Meats, Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Protenergy-Bay Valley Foods","Meat Processing, Poultry Processing",True,True
"Murvest Fine Foods","Meat Processing, Poultry Processing",True,True
"Yoder Brothers Meat Processing","Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",True,True
"Island Grown Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Logan Food Company Inc.","Meat Processing, Poultry Processing",True,True
"Day-Lee Foods Inc.","Meat Processing, Poultry Processing",True,True
"Harry's Frozen Food","Meat Processing, Poultry Processing",True,True
"Jane's Stromboli","Meat Processing, Poultry Processing",True,True
"Intra Coastal Packing, Inc.","Meat Processing, Poultry Processing",True,True
"E-HWA Food Products Co.","Meat Processing, Poultry Processing",True,True
"MarketPlace Deli Products Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Keystone Foods, LLC","Meat Processing, Poultry Processing",True,True
"Y. H. Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Wissota Marketing Inc.","Meat Processing, Poultry Processing",True,True
"W & G Marketing","Meat Processing, Poultry Processing",True,True
"Shoals Provision Inc.","Meat Processing, Poultry Processing",True,True
"50th State Poultry","Meat Processing, Poultry Processing",True,True
"Graciana LLC","Meat Processing, Poultry Processing",True,True
"Brookwood Farms","Meat Processing, Poultry Processing",True,True
"David's Bar-B-Que Wholesale Co.","Meat Processing, Poultry Processing",True,True
"Deutschland Foods, Inc.","Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",True,True
"Ossian Packing Co. Inc.","Meat Processing, Poultry Processing",True,True
"Ajinomoto Foods North America, Inc,","Meat Processing, Poultry Processing",True,True
"Dewig Bros. Packing Co.","Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",True,True
"Uno Foods Inc.","Meat Processing, Poultry Processing",True,True
"Cascioppo Meats","Meat Processing, Poultry Processing",True,True
"American Kitchen Delights Inc.","Meat Processing, Poultry Processing",True,True
"Walt's Homestyle Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Tip Top Poultry, Inc.","Meat Processing, Poultry Processing",True,True
"Fair Oaks Farms, LLC","Certification - Export, Certification - Trichinae, Identification - Meat, Meat Processing, Poultry Processing",True,True
"Ramar International Corp","Meat Processing, Poultry Processing",True,True
"Ramar International Corporation","Meat Processing, Poultry Processing",True,True
"Greater American Ribs Inc.","Meat Processing, Poultry Processing",True,True
"ConAgra Brands, Inc.","Meat Processing, Poultry Processing",True,True
"Cheney OFS, Inc.","Meat Processing, Poultry Processing",True,True
"Ruiz Food Products, Inc.","Meat Processing, Poultry Processing",True,True
"Ruiz Food Products, Inc.","Meat Processing, Poultry Processing",True,True
"Espi's Sausage and Tocino Co.","Meat Processing, Poultry Processing",True,True
"La Favorita Food Processing","Meat Processing, Poultry Processing",True,True
"3 Little Pigs LLC","Meat Processing, Poultry Processing",True,True
"John's Market","Meat Processing, Poultry Processing",True,True
"Main Street Wholesale Meats","Meat Processing, Poultry Processing",True,True
"Comarco Quality Pork Products","Meat Processing, Poultry Processing",True,True
"JPI Wholesalers, Inc.","Meat Processing, Poultry Processing",True,True
"Bell Tasty Foods Inc","Meat Processing, Poultry Processing",True,True
"Johnsonville, LLC","Meat Processing, Poultry Processing",True,True
"Mondongeria Torres Sanchez","Meat Processing, Poultry Processing",True,True
"A. S. K. Foods Inc.","Meat Processing, Poultry Processing",True,True
"Charlie's Meat Market, Inc.","Meat Processing, Poultry Processing",True,True
"Fiore Food Service LLC","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Premiere Brand Meats","Meat Processing, Poultry Processing",True,True
"Crystal Distribution Services, Inc.","Meat Processing, Poultry Processing",True,True
"M.G. Waldbaum Company","Certification - Export, Meat Processing, Poultry Processing, Voluntary Processing - Exotic",True,True
"Emerson Distributing","Meat Processing, Poultry Processing",True,True
"Quality Snack Foods, Inc.","Meat Processing, Poultry Processing",True,True
"CUISINE SOLUTIONS INC","Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",True,True
"Request Foods Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",True,True
"Request Foods Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Poultry",True,True
"Arch Foods Inc DBA: Deep Indian Kitchen","Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Poultry",True,True
"Henry J's Meat Specialties","Meat Processing, Poultry Processing",True,True
"Kerry Stock & Broth Company Inc.","Certification - Export, Identification - Meat, Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Temptee Brand Steak, Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Drakes Fresh Pasta Company","Meat Processing, Poultry Processing",True,True
"Mt. Airy Meat Center, Inc.","Meat Processing, Poultry Processing, Poultry Slaughter",True,True
"Rick's Barbecue, Inc","Meat Processing, Poultry Processing",True,True
"Highland Packing Company, Inc.","Meat Processing, Poultry Processing",True,True
"Tyson Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Kettle River Products","Meat Processing, Poultry Processing",True,True
"Bastan Corporation","Meat Processing, Poultry Processing",True,True
"Chamblee Meats & Supplies","Meat Processing, Poultry Processing",True,True
"Original Philly Holdings, Inc.","Meat Processing, Poultry Processing",True,True
"CieBend Inc.","Meat Processing, Poultry Processing",True,True
"Steve's Meat Shop","Meat Processing, Poultry Processing",True,True
"RMH Foods, LLC","Meat Processing, Poultry Processing",True,True
"Voise Sausage by Summers","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"PORTION MEAT ASSOCIATION, INC.","Meat Processing, Poultry Processing",True,True
"Stevens Brothers LLC","Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",True,True
"Sunset Foods","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Sunnyvalley Smoked Meats","Meat Processing, Poultry Processing",True,True
"Fairway Packing Inc.","Meat Processing, Poultry Processing",True,True
"Hormel Health Labs LLC","Meat Processing, Poultry Processing",True,True
"I-65 BBQ, Inc.","Meat Processing, Poultry Processing",True,True
"Grecian Delight Foods","Certification - Export, Meat Processing, Poultry Processing",True,True
"Best Chicago Meat Company, LLC","Meat Processing, Poultry Processing",True,True
"J.T. Jobbagy Inc.","Meat Processing, Poultry Processing",True,True
"Publix Supermarkets, Inc., Deli Plant","Meat Processing, Poultry Processing",True,True
"Creative Culinary Specialties, Inc.","Meat Processing, Poultry Processing",True,True
"JB, LLC","Meat Processing, Poultry Processing",True,True
"Los Altos Beef, Inc.","Meat Processing, Poultry Processing",True,True
"Jimbonitas LLC","Meat Processing, Poultry Processing",True,True
"Michael's Finer Meats, LLC","Certification - Trichinae, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit",True,True
"AVA Pork Products, Inc.","Meat Processing, Poultry Processing",True,True
"Nuevo Mundo Foods LLC","Meat Processing, Poultry Processing",True,True
"Bertolino Foods Inc","Meat Processing, Poultry Processing",True,True
"Boston Salads and Provisions Company Inc.","Meat Processing, Poultry Processing",True,True
"Lighthouse Soups and Chowders","Meat Processing, Poultry Processing",True,True
"Pinata Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Lee's Meats & Sausage, Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",True,True
"Lucksen Trading Co.","Meat Processing, Poultry Processing",True,True
"Jennie-O Turkey Store Sales, LLC","Meat Processing, Poultry Processing",True,True
"Dairyland Produce, LLC","Meat Processing, Poultry Processing",True,True
"Skyline Provisions","Identification - Meat, Meat Processing, Poultry Processing, Voluntary Processing - Exotic",True,True
"HTE Food Corp","Meat Processing, Poultry Processing",True,True
"Smithfield Packaged Meats Corp.","Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing",True,True
"LiDestri Foods, Inc.","Certification - Export, Meat Processing, Poultry Processing",True,True
"Reser's Fine Foods","Meat Processing, Poultry Processing",True,True
"Plenus Group Inc.","Meat Processing, Poultry Processing",True,True
"Allen Brothers LLC","Meat Processing, Poultry Processing",True,True
"Peter's Wholesale Meat Corporation","Meat Processing, Poultry Processing",True,True
"Cargill Kitchen Solutions, Inc.","Egg Product, Meat Processing, Poultry Processing",True,True
"J.A.K. Inc.","Meat Processing, Poultry Processing",True,True
"Green Bay Dressed Beef, LLC","Meat Processing, Poultry Processing",True,True
"Best Foods Products II","Meat Processing, Poultry Processing",True,True
"Meyer Wholesale","Meat Processing, Poultry Processing",True,True
"Catelli Brothers Inc.","Meat Processing, Poultry Processing",True,True
"Miami Purveyors Inc","Meat Processing, Poultry Processing",True,True
"Knockum Hill Bar-B-Que","Meat Processing, Poultry Processing",True,True
"Indian Valley Meats, Inc.","Meat Processing, Poultry Processing",True,True
"RBR Meat Co., Inc.","Meat Processing, Poultry Processing",True,True
"Cooper Hatchery, Inc.","Certification - Export, Meat Processing, Poultry Processing",True,True
"White Castle Systems","Meat Processing, Poultry Processing",True,True
"Andy's Deli & Mikolajczk","Meat Processing, Poultry Processing",True,True
"Andy's Deli & Mikolajczyk Sausage Shop Inc.","Meat Processing, Poultry Processing",True,True
"Fresh Foods of Washington LLC","Food Inspection, Meat Processing, Poultry Processing",True,True
"Sterigenics-Mulberry","Meat Processing, Poultry Processing",True,True
"Harvest Farms, Inc.","Meat Processing, Poultry Processing",True,True
"Gordo's LLC","Meat Processing, Poultry Processing",True,True
"Montalvan's Sales","Meat Processing, Poultry Processing",True,True
"Bellisio Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Asahi Foods Inc.","Meat Processing, Poultry Processing",True,True
"Bush Brothers Provision Co., Inc.","Meat Processing, Poultry Processing",True,True
"Sausage World, inc.","Meat Processing, Poultry Processing",True,True
"Murphy's Express Inc.","Meat Processing, Poultry Processing",True,True
"Conagra Brands","Meat Processing, Poultry Processing",True,True
"Crescent Prime Cuts Ltd.","Meat Processing, Poultry Processing",True,True
"AG Food Products Corp.","Meat Processing, Poultry Processing",True,True
"Harvest Group, LLC dba Phenix Food Service","Meat Processing, Poultry Processing",True,True
"Reggio's Pizza, Inc.","Meat Processing, Poultry Processing",True,True
"Traditions Prepared Meals LLC.","Meat Processing, Poultry Processing",True,True
"Carle's Bratwurst, Inc.","Meat Processing, Poultry Processing",True,True
"Ajinomoto Foods North America","Meat Processing, Poultry Processing",True,True
"Ajinomoto Toyo Frozen Noodle, Inc.","Meat Processing, Poultry Processing",True,True
"Monogram Appetizers, LLC","Meat Processing, Poultry Processing",True,True
"Monogram Appetizers, LLC","Meat Processing, Poultry Processing",True,True
"Leeann Chin, Inc.","Meat Processing, Poultry Processing",True,True
"George Frozen Foods","Meat Processing, Poultry Processing",True,True
"Hometown Sausage Kitchen","Meat Processing, Poultry Processing",True,True
"Montgomery Inn Commissary","Meat Processing, Poultry Processing",True,True
"Pat's Wholesale Meat & Pizza Supply","Meat Processing, Poultry Processing",True,True
"At Last Gourmet Foods","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Kayem Foods Inc.","Meat Processing, Poultry Processing",True,True
"Orchard Sausages, Inc.","Certification - Export, Meat Processing, Poultry Processing",True,True
"Wang Shi Corporation","Meat Processing, Poultry Processing",True,True
"Gosar Natural Foods L.L.C.","Food Inspection, Identification - Meat, Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",True,True
"Van-Lang Enterprises, Inc.","Meat Processing, Poultry Processing",True,True
"New Cheung's Meat Wholesale In","Meat Processing, Poultry Processing",True,True
"Sugar Creek Packing Company","Certification - Export, Meat Processing, Poultry Processing",True,True
"New York Food Service Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing",True,True
"Johns Genova Delicatessen, Inc.","Meat Processing, Poultry Processing",True,True
"Sugar Creek Packing Co.","Meat Processing, Poultry Processing",True,True
"Sugar Creek Packing Co.","Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Poultry",True,True
"Sugar Creek","Meat Processing, Poultry Processing",True,True
"Sugar Creek","Egg Product, Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Sugar Creek Packing Co.","Meat Processing, Poultry Processing",True,True
"Corky's Food Manufacturing, LP","Meat Processing, Poultry Processing",True,True
"Ba Le Meat Processing","Meat Processing, Poultry Processing",True,True
"Stoney Point Incorporation","Meat Processing, Poultry Processing",True,True
"WING Y Meats Inc.","Meat Processing, Poultry Processing",True,True
"Gourmet Kitchen Inc","Meat Processing, Poultry Processing",True,True
"Kettle Cuisine Midco, LLC","Meat Processing, Poultry Processing",True,True
"Hotpie Incorporated","Meat Processing, Poultry Processing",True,True
"C&C Meat Sales, Inc.","Meat Processing, Poultry Processing",True,True
"Home Run Inn, Inc.","Meat Processing, Poultry Processing",True,True
"Home Run Inn Frozen Foods","Meat Processing, Poultry Processing",True,True
"Missa Bay LLC","Meat Processing, Poultry Processing",True,True
"King Kold","Meat Processing, Poultry Processing",True,True
"Pride Enterprise Food Products","Meat Processing, Poultry Processing",True,True
"Werner Gourmet Meat Snacks Inc.","Meat Processing, Poultry Processing",True,True
"Dave's Salad House","Meat Processing, Poultry Processing",True,True
"Los Primos Meats Inc.","Meat Processing, Poultry Processing",True,True
"Norsan Meats, Inc.","Meat Processing, Poultry Processing",True,True
"Costco Wholesale Meat Plant","Meat Processing, Poultry Processing",True,True
"Pierino Frozen Foods, Inc.","Meat Processing, Poultry Processing",True,True
"Li Chuen Company, Inc.","Meat Processing, Poultry Processing",True,True
"JCG Industries","Meat Processing, Poultry Processing",True,True
"JCG Industries","Meat Processing, Poultry Processing",True,True
"Grand Food Inc.","Meat Processing, Poultry Processing",True,True
"Crown Meat & Provisions Co Inc","Meat Processing, Poultry Processing",True,True
"E&M Innovative Forager, LLC","Meat Processing, Poultry Processing",True,True
"Suitor Meat Company, Inc.","Meat Processing, Poultry Processing",True,True
"Paxton Packing, LLC","Meat Processing, Poultry Processing",True,True
"Paxton Packing LLC","Meat Processing, Poultry Processing",True,True
"Onion Crock of Michigan","Meat Processing, Poultry Processing",True,True
"K&L Ranch Inc.","Meat Processing, Poultry Processing",True,True
"Greco and Sons","Meat Processing, Poultry Processing",True,True
"Rutgers University-Food Innovation Center-North","Meat Processing, Poultry Processing",True,True
"Hudson Meats and Sausage, Inc.","Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",True,True
"Mad Butcher Meat Co. Inc.","Meat Processing, Poultry Processing",True,True
"Pede Brothers Inc.","Meat Processing, Poultry Processing",True,True
"Three Paisano's Food Service Inc.","Meat Processing, Poultry Processing",True,True
"Coblentz Distributing, Inc","Meat Processing, Poultry Processing",True,True
"Mucca Inc.","Meat Processing, Poultry Processing",True,True
"Niagara Specialty Foods","Meat Processing, Poultry Processing",True,True
"Mega Meats","Meat Processing, Poultry Processing",True,True
"Ellsworth Foods Inc.","Meat Processing, Poultry Processing",True,True
"Hermanos Santiago Cash & Carry","Meat Processing, Poultry Processing",True,True
"Manhattan Packing, Inc.","Meat Processing, Poultry Processing",True,True
"Fells Point, LLC","Animal Foods Inspection, Meat Processing, Poultry Processing",True,True
"Kraft Heinz Company","Meat Processing, Poultry Processing",True,True
"Landes Fresh Meats, Inc","Meat Processing, Poultry Processing",True,True
"NYS DOCS, OFFICE OF NUTRITIONAL SERVICES/FOOD PRODUCTION CENTER","Meat Processing, Poultry Processing",True,True
"Garfield Locker","Meat Processing, Meat Slaughter, Poultry Processing",True,True
"Sausage Factory","Meat Processing, Poultry Processing",True,True
"La Bella Sausage","Meat Processing, Poultry Processing",True,True
"PFG Specialty Inc.","Meat Processing, Poultry Processing",True,True
"American Food Service","Meat Processing, Poultry Processing",True,True
"Center Fresh Egg Farm L.L.P.","Egg Product",NULL,NULL
"Hickman's Egg Ranch, Inc.","Certification - Export, Egg Product",NULL,NULL
"Texas Egg Products LLC","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"New Day Farms, LLC","Egg Product",NULL,NULL
"New Day Farms, LLC - Farm 3","Egg Product",NULL,NULL
"Michael Foods Egg Products Company","Egg Product",NULL,NULL
"Thrive Life","Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Dimension Marketing and Sales, Inc.","Egg Product",NULL,NULL
"Stiebrs Farms","Egg Product",NULL,NULL
"Hawkeye Pride Egg Farm LLP","Egg Product",NULL,NULL
"Oskaloosa Food Products Corp.","Egg Product",NULL,NULL
"Forsman Farms, Inc.","Egg Product",NULL,NULL
"Henningsen Foods, Inc.","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Michael Foods Egg Products Company","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Michael Foods Egg Products Company","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Husker Pride Farms MG Waldbaum Co.","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Big Red Farms","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Bloom-N-Egg Farm","Certification - Export, Egg Product, Voluntary Processing - Egg Products",NULL,NULL
"Cooper Farms Liquid Egg Products","Egg Product",NULL,NULL
"Chino Valley Ranchers","Egg Product",NULL,NULL
"Terra Companies DBA Judee's","Egg Product",NULL,NULL
"New Day Farms, LLC","Egg Product",NULL,NULL
"Pine Valley Ranch LLC","Egg Product",NULL,NULL
"Daybreak Foods, Inc.","Egg Product",NULL,NULL
"Modernist Pantry, LLC","Egg Product",NULL,NULL
"Michael Foods Egg Products Company","Egg Product",NULL,NULL
"AbE Manufacturing","Egg Product",NULL,NULL
"Cinnamonster Franchise Group, Inc.","Egg Product",NULL,NULL
"Egg 24-7","Egg Product",NULL,NULL
"Estherville Foods, Inc.","Egg Product",NULL,NULL
"Trillium Farms","Egg Product",NULL,NULL
"Daybreak Foods, Inc.","Egg Product",NULL,NULL
"Sonstegard Foods of Georgia","Egg Product",NULL,NULL
"Ballas Egg Products Corporation","Egg Product",NULL,NULL
"Centrum Valley Farms L.L.P.","Egg Product",NULL,NULL
"Trillium Farms - Layer # 5","Egg Product",NULL,NULL
"Lineage Logistics PFS, LLC","Imported Product",NULL,NULL
"Atlantic Coast Freezers LLC","Imported Product",NULL,NULL
"Lineage Logistics, LLC","Imported Product",NULL,NULL
"Dreisbach Enterprises","Imported Product",NULL,NULL
"Northwestern Selecta, Inc.","Imported Product",NULL,NULL
"MTC Logistics, Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Off-Premise Freez",NULL,NULL
"Newcold Seattle Operations LLC","Certification - Export, Identification - Meat, Imported Product",NULL,NULL
"Jose Santiago, Inc.","Imported Product",NULL,NULL
"Isla Frio Refrigeration Corporation","Imported Product",NULL,NULL
"Dynamic Ventures Inc.","Imported Product",NULL,NULL
"Detroit Cold Storage","Imported Product",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",NULL,NULL
"San Rafael Distributing, Inc.","Imported Product",NULL,NULL
"Konoike Pacific California, Inc.","Imported Product",NULL,NULL
"Celebrity Foods Division of Atalanta Corporation","Certification - Export, Imported Product",NULL,NULL
"Capital Cold Storage, LLC",NULL,NULL,NULL
"Supermercados Econo, Inc.","Imported Product",NULL,NULL
"Morgan-Todt, Inc. dba United Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Off-Premise Freezing - Siluriformes",NULL,NULL
"Morgan-Todt, Inc. dba United Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry, Imported Product",NULL,NULL
"Theriault's Abattoir, Inc.","Imported Product",NULL,NULL
"Sorbello Refrigerated Services","Imported Product",NULL,NULL
"Delaware Avenue Enterprises, Inc.","Imported Product",NULL,NULL
"Jose Enriquez Inc. dba JE Exports","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",NULL,NULL
"Port of Palm Cold Storage Inc.","Imported Product",NULL,NULL
"Derstine's Inc.","Imported Product",NULL,NULL
"Atkins Sheep Ranch, Inc.","Imported Product",NULL,NULL
"Kukui Meat","Imported Product",NULL,NULL
"NOCS West Gulf","Imported Product",NULL,NULL
"Micronesian Brokers, Inc.","Imported Product",NULL,NULL
"Livingston International, Inc.","Imported Product",NULL,NULL
"Merchants Terminal Corporation","Imported Product",NULL,NULL
"Americold Logistics","Imported Product",NULL,NULL
"Goya Foods, Inc.","Imported Product",NULL,NULL
"Lineage Logistics PFS, LLC","Imported Product",NULL,NULL
"Yaong Corporation Rem Center Warehouse","Imported Product",NULL,NULL
"Southwest Food Processing and Refrigerated Services","Imported Product",NULL,NULL
"Americold Logistics LLC","Imported Product",NULL,NULL
"Malgor & Co.","Imported Product",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Imported Product",NULL,NULL
"DSI Logistics, Inc.","Imported Product",NULL,NULL
"Camden Port Services, Inc.","Imported Product",NULL,NULL
"Quirch Foods Company","Imported Product",NULL,NULL
"CPS Distribution Service","Imported Product",NULL,NULL
"Versacold Texas, LP","Imported Product",NULL,NULL
